  JENDL-4.0 NFY Fm255                                                0         0
 7.06456-14 4.52132-14 3.307300+4 0.000000+0 4.08792-12 2.61627-129936 8454  112
 3.307400+4 0.000000+0 1.58556-10 7.73283-11 3.307500+4 0.000000+09936 8454  113
 3.393370-9 2.171750-9 3.307600+4 0.000000+0 5.119820-8 3.276690-89936 8454  114
 3.307700+4 0.000000+0 4.713010-7 3.016330-7 3.307800+4 0.000000+09936 8454  115
 2.857580-6 1.828840-6 3.307900+4 0.000000+0 1.066630-5 6.826430-69936 8454  116
 3.308000+4 0.000000+0 2.897270-5 1.854250-5 3.308100+4 0.000000+09936 8454  117
 4.990830-5 3.194140-5 3.308200+4 0.000000+0 1.521400-5 9.736960-69936 8454  118
 3.308200+4 1.000000+0 4.588650-5 2.936730-5 3.308300+4 0.000000+09936 8454  119
 5.116840-5 3.274780-5 3.308400+4 0.000000+0 2.264880-5 1.449530-59936 8454  120
 3.308400+4 1.000000+0 4.250020-6 2.720020-6 3.308500+4 0.000000+09936 8454  121
 1.129140-5 7.226500-6 3.308600+4 0.000000+0 2.421010-6 1.549440-69936 8454  122
 3.308700+4 0.000000+0 3.621580-7 2.317810-7 3.308800+4 0.000000+09936 8454  123
 3.234620-8 2.070150-8 3.308900+4 0.000000+0 1.617260-9 1.035050-99936 8454  124
 3.309000+4 0.000000+0 1.20988-10 7.74328-11 3.309100+4 0.000000+09936 8454  125
 3.69026-13 2.36176-13 3.309200+4 0.000000+0 1.25121-14 8.00775-159936 8454  126
 3.309300+4 0.000000+0 0.000000+0 0.000000+0 3.309400+4 0.000000+09936 8454  127
 0.000000+0 0.000000+0 3.309500+4 0.000000+0 0.000000+0 0.000000+09936 8454  128
 3.407400+4 0.000000+0 0.000000+0 0.000000+0 3.407500+4 0.000000+09936 8454  129
 6.46923-13 4.14031-13 3.407600+4 0.000000+0 3.33384-11 2.13365-119936 8454  130
 3.407700+4 0.000000+0 1.37111-10 8.77512-11 3.407700+4 1.000000+09936 8454  131
 8.93799-10 5.72031-10 3.407800+4 0.000000+0 2.043960-8 1.308130-89936 8454  132
 3.407900+4 0.000000+0 2.086100-7 1.335100-7 3.407900+4 1.000000+09936 8454  133
 3.200130-8 2.048080-8 3.408000+4 0.000000+0 1.964580-6 1.257330-69936 8454  134
 3.408100+4 0.000000+0 1.245740-6 7.972780-7 3.408100+4 1.000000+09936 8454  135
 8.120750-6 5.197280-6 3.408200+4 0.000000+0 3.203860-5 2.050460-59936 8454  136
 3.408300+4 0.000000+0 5.795230-5 3.708950-5 3.408300+4 1.000000+09936 8454  137
 1.341750-5 8.587240-6 3.408400+4 0.000000+0 1.036860-4 6.635920-59936 8454  138
 3.408500+4 0.000000+0 1.254950-4 5.679270-5 3.408600+4 0.000000+09936 8454  139
 8.214540-5 5.257300-5 3.408700+4 0.000000+0 3.951990-5 2.529280-59936 8454  140
 3.408800+4 0.000000+0 1.181720-5 7.563050-6 3.408900+4 0.000000+09936 8454  141
 2.093570-6 1.339880-6 3.409000+4 0.000000+0 2.459480-7 1.574060-79936 8454  142
 3.409100+4 0.000000+0 1.617280-8 1.035060-8 3.409200+4 0.000000+09936 8454  143
 6.61794-10 4.23548-10 3.409300+4 0.000000+0 4.66306-12 2.98435-129936 8454  144
